,id,age,gender,scanner,scan_day,onset,offset,duration_measured,response,key_t,rt,con
0,,,female,Prisma,Tuesday,9.68822278082e-05,2.97442177753,2.9743248953,NA,NA,2.9743248953,ani0
1,,,female,Prisma,Tuesday,3.47864883114,6.47465195321,2.99600312207,NA,NA,2.99600312207,inani0
2,,,female,Prisma,Tuesday,6.97920847102,9.97480289079,2.99559441977,NA,NA,2.99559441977,ani1
3,,,female,Prisma,Tuesday,10.4794572534,13.4750442947,2.99558704137,NA,NA,2.99558704137,inani1
4,,,female,Prisma,Tuesday,13.9796691434,16.9753136083,2.99564446486,NA,NA,2.99564446486,ani0
5,,,female,Prisma,Tuesday,17.4798348378,20.4756162856,2.99578144774,NA,NA,2.99578144774,inani0
6,,,female,Prisma,Tuesday,20.9800585976,23.9758669927,2.99580839509,NA,NA,2.99580839509,ani1
7,,,female,Prisma,Tuesday,24.4837467032,27.4761096798,2.99236297654,NA,NA,2.99236297654,inani1
8,,,female,Prisma,Tuesday,27.9839685382,30.9762968679,2.99232832971,NA,NA,2.99232832971,ani0
9,,,female,Prisma,Tuesday,31.4813884844,34.4765110037,2.99512251932,NA,NA,2.99512251932,inani0
10,,,female,Prisma,Tuesday,34.9811169249,37.9768024527,2.9956855278,NA,NA,2.9956855278,ani1
11,,,female,Prisma,Tuesday,38.481234499,41.4770172299,2.99578273087,NA,NA,2.99578273087,inani1
12,,,female,Prisma,Tuesday,41.9814556923,44.9772602378,2.99580454547,NA,NA,2.99580454547,ani0
13,,,female,Prisma,Tuesday,45.4817840338,48.4774955465,2.99571151263,NA,NA,2.99571151263,inani0
14,,,female,Prisma,Tuesday,48.9819590314,51.9777093611,2.99575032969,NA,NA,2.99575032969,ani1
15,,,female,Prisma,Tuesday,52.4822158339,55.4779023239,2.99568649009,NA,NA,2.99568649009,inani1
16,,,female,Prisma,Tuesday,55.9823953228,58.9781735623,2.99577823956,NA,NA,2.99577823956,ani0
17,,,female,Prisma,Tuesday,59.4862762308,62.4783979638,2.99212173303,NA,NA,2.99212173303,inani0
18,,,female,Prisma,Tuesday,62.9828916043,65.9786451419,2.99575353763,NA,NA,2.99575353763,ani1
19,,,female,Prisma,Tuesday,66.483126913,69.4788647313,2.9957378183,NA,NA,2.9957378183,inani1
20,,,female,Prisma,Tuesday,69.9833631839,72.9791083809,2.99574519694,NA,NA,2.99574519694,ani0
21,,,female,Prisma,Tuesday,73.4835340113,76.4793478597,2.99581384845,NA,NA,2.99581384845,inani0
22,,,female,Prisma,Tuesday,76.9837734902,79.9795337648,2.99576027459,b,77.41606219462119,2.99576027459,ani1
23,,,female,Prisma,Tuesday,80.4842397766,83.4797831888,2.99554341217,b,83.43306921655312,2.99554341217,inani1
